product_category,product_name,unit_price
Electronics,Laptop HP Pavilion 15,3500000
Accessories,Mouse Logitech G203,120000
Accessories,USB Kingston 64GB,45000
Home,Silla Ergonomica Office,450000
Electronics,Monitor Samsung 24,600000
Accessories,Teclado Mecanico Redragon,250000
Home,Escritorio Estandar Blanco,320000
Home,Lampara LED Escritorio,80000
Electronics,Laptop HP Pavilion 15,3500000
Accessories,Audifonos Sony WH-1000,1200000
Accessories,Mouse Logitech G203,120000
Electronics,iPad Air 64GB,2800000
Accessories,Funda iPad Air,90000
Electronics,Monitor LG 27 UltraGear,1100000
Accessories,Cable HDMI 2.0 3m,35000
Home,Sofa Cama Gris,1500000
Home,Lampara LED Escritorio,80000
Electronics,Impresora Epson EcoTank,950000
Stationery,Resma Papel Carta 500,25000
Accessories,USB Kingston 64GB,45000
Electronics,Parlante JBL Flip 6,550000
Kitchen,Cafetera Oster 12 Tazas,180000
Kitchen,Batidora Inmersion,120000
Electronics,Laptop HP Pavilion 15,3500000
Accessories,Mouse Logitech G203,120000
Accessories,Audifonos Sony WH-1000,1200000
Electronics,iPad Air 64GB,2800000
Home,Silla Ergonomica Office,450000
Stationery,Resma Papel Carta 500,25000
Electronics,Microfono Shure SM58,450000
Kitchen,Cafetera Oster 12 Tazas,180000
Accessories,Teclado Mecanico Redragon,250000
Accessories,Mouse Logitech G203,120000
Electronics,Parlante JBL Flip 6,550000
Electronics,Laptop HP Pavilion 15,3500000
Home,Lampara LED Escritorio,80000
Stationery,Marcadores Sharpie x12,35000
Home,Escritorio Estandar Blanco,320000
Home,Silla Ergonomica Office,450000
Electronics,Monitor Samsung 24,600000
Kitchen,Batidora Inmersion,120000
Accessories,USB Kingston 64GB,45000
Electronics,iPad Air 64GB,2800000
Stationery,Resma Papel Carta 500,25000
Accessories,Audifonos Sony WH-1000,1200000
Accessories,Cable HDMI 2.0 3m,35000
Electronics,Impresora Epson EcoTank,950000
Home,Sofa Cama Gris,1500000
Home,Lampara LED Escritorio,80000
Electronics,Laptop HP Pavilion 15,3500000
Accessories,Mouse Logitech G203,120000
Kitchen,Cafetera Oster 12 Tazas,180000
Home,Escritorio Estandar Blanco,320000
Electronics,Monitor LG 27 UltraGear,1100000
Accessories,Teclado Mecanico Redragon,250000
Accessories,Mouse Logitech G203,120000
Electronics,Parlante JBL Flip 6,550000
Kitchen,Batidora Inmersion,120000
Stationery,Marcadores Sharpie x12,35000
Electronics,iPad Air 64GB,2800000
Accessories,Funda iPad Air,90000
Electronics,Monitor Samsung 24,600000
Accessories,USB Kingston 64GB,45000
Home,Lampara LED Escritorio,80000
Accessories,Cable HDMI 2.0 3m,35000
Electronics,Laptop HP Pavilion 15,3500000
Home,Sofa Cama Gris,1500000
Stationery,Resma Papel Carta 500,25000
Electronics,Microfono Shure SM58,450000
Electronics,Impresora Epson EcoTank,950000
Kitchen,Cafetera Oster 12 Tazas,180000
Accessories,Audifonos Sony WH-1000,1200000
Home,Silla Ergonomica Office,450000
Electronics,iPad Air 64GB,2800000
Accessories,Mouse Logitech G203,120000
Accessories,Teclado Mecanico Redragon,250000
Kitchen,Batidora Inmersion,120000
Electronics,Parlante JBL Flip 6,550000
Home,Lampara LED Escritorio,80000
Electronics,Monitor LG 27 UltraGear,1100000
Accessories,USB Kingston 64GB,45000
Stationery,Marcadores Sharpie x12,35000
Electronics,Laptop HP Pavilion 15,3500000
Accessories,Funda iPad Air,90000
Home,Escritorio Estandar Blanco,320000
Electronics,Monitor Samsung 24,600000
Electronics,Microfono Shure SM58,450000
Accessories,Cable HDMI 2.0 3m,35000
Kitchen,Cafetera Oster 12 Tazas,180000
Electronics,Impresora Epson EcoTank,950000
Home,Sofa Cama Gris,1500000
Electronics,iPad Air 64GB,2800000
Accessories,Audifonos Sony WH-1000,1200000
Electronics,Laptop HP Pavilion 15,3500000
Accessories,Mouse Logitech G203,120000
Stationery,Resma Papel Carta 500,25000
Home,Lampara LED Escritorio,80000
Electronics,Parlante JBL Flip 6,550000
Kitchen,Batidora Inmersion,120000
Accessories,Teclado Mecanico Redragon,250000
Electronics,Monitor Samsung 24,600000
Electronics,iPad Air 64GB,2800000
Home,Silla Ergonomica Office,450000
